abaratar diluviar maltratar
abarcar diseminar mandar
aborrecer disentir manipular
acalorar disgregar mencionar
acatar doblez mendigar
aceptar dominar mental
acicalar dramatizar mudar
acomodar dorar mundial
acoplar dudar musical
acorralar ecuatorial musicalizar
acusar edificar natural
adaptador embarcar naturalidad
adecuar embaucar necedad
adiestrador emplazar necesidad
adivinar empezar negociar
adjudicador encantar neutral
adjudicar encasillar obesidad
administrar encontrar obsequiar
admirador ensillar ocupar
adoptar escolar ofender
adorar ensillar oficial
aerosol entrometer oficiar
afectar esconder ofrendar
afinidad escribir orientador
alcanzar esencial oriental
animar espiritual orinar
aniquilar estipular patinar
anticipar evadir percibir
ascender expedir peritoneal
asesinar explorar persuadir
asesor facilitar plantar
asiduidad favorecer policial
atender febril prometer
atrocidad financiar proseguir
azuzar fragilidad pulidor
balancear frivolidad purificar
billar funcionar racional
bimestral ganar racionar
binocular garantizar real
blanqueador generar rectangular
blanquear generosidad regresar
borrar genial rentar
bostezar girar reptar
boxear glacial rescatar
brevedad glaciar ritual
bronceador gladiador rumiar
brutal gratitud saborear
burbujear guardar sacar
cabezal habitual salar
caducidad habituar salir
calentar hexagonal saludar
cantar hostal salvador
cantor hotel sanear
humedad sanidad
capacidad humedecer santidad
causal hundir santiguar
cavidad implicar separar
cazar importar simpatizar
central incondicional sobrenatural
cepillar inferior soldar
colocar infiltrar sumar
combatir ingenuidad superior
compensar inicial tejer
competir inmoral timador
compresor insinuar trabajar
consolar integridad traer
contener interior traicionar
continental interpretar trasplantar
contrariedad intrigar ungir
contribuir jalar unidad
corral jocosidad universal
costillar judicial untar
cruzar jugar urbanidad
dejar jurar vecindad
delinquir justificar ventilar
denigrar laminar veracidad
dental legitimidad verdad
depositar lesionar vitorear
desesperar luminosidad vivir
desperdiciar maldecir vivenciar
