Sexo;Provincia;Municipio;Periodo;Total
Total;28 Madrid;;1 de enero de 2022;6750336
Total;28 Madrid;Acebeda, La;1 de enero de 2022;62
Total;28 Madrid;Ajalvir;1 de enero de 2022;4751
Total;28 Madrid;Alameda del Valle;1 de enero de 2022;241
Total;28 Madrid;Álamo, El;1 de enero de 2022;10123
Total;28 Madrid;Alcalá de Henares;1 de enero de 2022;196888
""
Total;28 Madrid;Alcorcón;1 de enero de 2022;170296
Total;28 Madrid;Aldea del Fresno;1 de enero de 2022;3227
Total;28 Madrid;Algete;1 de enero de 2022;20767
Total;28 Madrid;Alpedrete;1 de enero de 2022;15006
Total;28 Madrid;Ambite;1 de enero de 2022;648
Total;28 Madrid;Anchuelo;1 de enero de 2022;1354
Total;28 Madrid;Aranjuez;1 de enero de 2022;59762
Total;28 Madrid;Arganda del Rey;1 de enero de 2022;57553
Total;28 Madrid;Arroyomolinos;1 de enero de 2022;34833
Total;28 Madrid;Atazar, El;1 de enero de 2022;107
Total;28 Madrid;Batres;1 de enero de 2022;1823
Total;28 Madrid;Becerril de la Sierra;1 de enero de 2022;6197
Total;28 Madrid;Belmonte de Tajo;1 de enero de 2022;1769
Total;28 Madrid;Berrueco, El;1 de enero de 2022;801
Total;28 Madrid;Berzosa del Lozoya;1 de enero de 2022;227
Total;28 Madrid;Boadilla del Monte;1 de enero de 2022;62627
Total;28 Madrid;Boalo, El;1 de enero de 2022;8216
Total;28 Madrid;Braojos;1 de enero de 2022;218
Total;28 Madrid;Brea de Tajo;1 de enero de 2022;541
Total;28 Madrid;Brunete;1 de enero de 2022;10845
Total;28 Madrid;Buitrago del Lozoya;1 de enero de 2022;1948
Total;28 Madrid;Bustarviejo;1 de enero de 2022;2706
Total;28 Madrid;Cabanillas de la Sierra;1 de enero de 2022;874
Total;28 Madrid;Cabrera, La;1 de enero de 2022;2805
Total;28 Madrid;Cadalso de los Vidrios;1 de enero de 2022;3193
Total;28 Madrid;Camarma de Esteruelas;1 de enero de 2022;7595
Total;28 Madrid;Campo Real;1 de enero de 2022;6651
Total;28 Madrid;Canencia;1 de enero de 2022;455
Total;28 Madrid;Carabaña;1 de enero de 2022;2210
Total;28 Madrid;Casarrubuelos;1 de enero de 2022;3961
Total;28 Madrid;Cenicientos;1 de enero de 2022;2089
Total;28 Madrid;Cercedilla;1 de enero de 2022;7533
Total;28 Madrid;Cervera de Buitrago;1 de enero de 2022;169
Total;28 Madrid;Chapinería;1 de enero de 2022;2512
Total;28 Madrid;Chinchón;1 de enero de 2022;5658
Total;28 Madrid;Ciempozuelos;1 de enero de 2022;25383
Total;28 Madrid;Cobeña;1 de enero de 2022;7551
Total;28 Madrid;Collado Mediano;1 de enero de 2022;7456
Total;28 Madrid;Collado Villalba;1 de enero de 2022;64263
Total;28 Madrid;Colmenar de Oreja;1 de enero de 2022;8462
Total;28 Madrid;Colmenar del Arroyo;1 de enero de 2022;1936
Total;28 Madrid;Colmenar Viejo;1 de enero de 2022;53389
Total;28 Madrid;Colmenarejo;1 de enero de 2022;9473
Total;28 Madrid;Corpa;1 de enero de 2022;764
Total;28 Madrid;Coslada;1 de enero de 2022;80596
Total;28 Madrid;Cubas de la Sagra;1 de enero de 2022;6698
Total;28 Madrid;Daganzo de Arriba;1 de enero de 2022;10650
Total;28 Madrid;Escorial, El;1 de enero de 2022;16618
Total;28 Madrid;Estremera;1 de enero de 2022;1410
Total;28 Madrid;Fresnedillas de la Oliva;1 de enero de 2022;1784
Total;28 Madrid;Fresno de Torote;1 de enero de 2022;2444
Total;28 Madrid;Fuenlabrada;1 de enero de 2022;189891
Total;28 Madrid;Fuente el Saz de Jarama;1 de enero de 2022;7034
Total;28 Madrid;Fuentidueña de Tajo;1 de enero de 2022;2250
Total;28 Madrid;Galapagar;1 de enero de 2022;34834
Total;28 Madrid;Garganta de los Montes;1 de enero de 2022;395
Total;28 Madrid;Gargantilla del Lozoya y Pinilla de Buitrago;1 de enero de 2022;361
Total;28 Madrid;Gascones;1 de enero de 2022;212
Total;28 Madrid;Getafe;1 de enero de 2022;183219
Total;28 Madrid;Griñón;1 de enero de 2022;10491
Total;28 Madrid;Guadalix de la Sierra;1 de enero de 2022;6672
Total;28 Madrid;Guadarrama;1 de enero de 2022;16921
Total;28 Madrid;Hiruela, La;1 de enero de 2022;75
Total;28 Madrid;Horcajo de la Sierra-Aoslos;1 de enero de 2022;201
Total;28 Madrid;Horcajuelo de la Sierra;1 de enero de 2022;110
Total;28 Madrid;Hoyo de Manzanares;1 de enero de 2022;8811
